video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"irom2eEaP3c","【中天互動LIVE】#太魯閣號清明劫! 台鐵史上最慘51命178傷 台鐵連夜搶修軌道@中天新聞20210402","2021-04-02T18:09:38Z","UC5l1Yto5oOIgRXlI4p4VKbw","中天電視","25","21.05.04","中天|中天電視|中天新聞|CTI|會員","868547","15566","482","434","https://i.ytimg.com/vi/irom2eEaP3c/default.jpg","False","False","#台鐵史上最慘#太魯閣號出軌#卡隧道#50罹難#賠償540萬元#鐵軌扭曲#連夜搶修#負責人聲押【中天新聞24小時直播】 https://youtu.be/5tQBwbyQ-Fw 【中天電視頻道】訊號若不穩定或收看品質不佳，請重新連結https://www.youtube.com/channel/UC5l1Yto5oOIgRXlI4p4VKbw★加入中天電視會員：https://www.youtube.com/c/ctitv/join★支持中天快點購，上中天YT看影音商品解說，精選好物一鍵購買好方便！🛍️快點購👉https://cti.news/hurrybuy⭐️大甲媽x水神防疫禮盒👉https://cti.news/mazu                   未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。 如有任何營業使用，必須事先取得書面同意。"
"CIeWRMdy_Hk","【中天互動LIVE】最新現場！重返太魯閣號出軌傷心地 罹難者家屬14:30招魂","2021-04-03T10:33:46Z","UC5l1Yto5oOIgRXlI4p4VKbw","中天電視","25","21.05.04","中天|中天電視|中天新聞|CTI|會員|太魯閣號|出軌|運安會|花蓮地檢署|交通部長|林佳龍|蘇貞昌|徐國勇|蔡英文|手剎車|清水","913493","16289","350","190","https://i.ytimg.com/vi/CIeWRMdy_Hk/default.jpg","False","False","太魯閣號發生50死146傷意外運安會跟花蓮地檢署聯手追查事故原因特派記者紀博師現場直播報導 #太魯閣號 #出軌 #運安會 #台鐵 【中天新聞24小時直播】 https://youtu.be/5tQBwbyQ-Fw 【中天電視頻道】訊號若不穩定或收看品質不佳，請重新連結https://www.youtube.com/channel/UC5l1Yto5oOIgRXlI4p4VKbw★加入中天電視會員：https://www.youtube.com/c/ctitv/join★支持中天快點購，上中天YT看影音商品解說，精選好物一鍵購買好方便！🛍️快點購👉https://cti.news/hurrybuy⭐️大甲媽x水神防疫禮盒👉https://cti.news/mazu                   未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。 如有任何營業使用，必須事先取得書面同意。"
"v2KCljAfNPs","【完整公開】LIVE 太魯閣號遭工程車撞擊 現場最新救援畫面不斷更新","2021-04-02T15:57:58Z","UC8ROUUjHzEQm-ndb69CX8Ww","台視新聞 TTV NEWS","25","21.05.04","台視新聞|TTV News|TTV LIVE","490448","1368","192","144","https://i.ytimg.com/vi/v2KCljAfNPs/default.jpg","False","False","#太魯閣號 #出軌 #花蓮 2021.04.03【完整公開】台鐵408車次太魯閣號今天（2）上午發生出軌意外，造成51人死亡、146人受傷。歡迎收看並訂閱TTVNews台視新聞YouTube頻道。◎【台視新聞網】👉https://news.ttv.com.tw/◎訂閱【台視新聞】👉https://www.youtube.com/c/ttvnewsview◎訂閱【TTV LIVE台視直播】👉https://www.youtube.com/c/twlivenews◎按讚【台視新聞FB】👉https://www.facebook.com/ttvnews/◎追蹤【台視新聞IG】👉https://www.instagram.com/ttvnews_tw/"
"9W958pT-R7Y","【中天互動LIVE】慟！太魯閣號事故 家屬赴殯儀館認屍 面容難辨 崩潰痛哭@中天新聞 20210403","2021-04-03T15:11:35Z","UC5l1Yto5oOIgRXlI4p4VKbw","中天電視","25","21.05.04","中天|中天電視|中天新聞|CTI|會員","430996","9872","181","90","https://i.ytimg.com/vi/9W958pT-R7Y/default.jpg","False","False","#太魯閣號 #殯儀館 #家屬哀痛 #令人鼻酸【中天新聞24小時直播】 https://youtu.be/5tQBwbyQ-Fw 【中天電視頻道】訊號若不穩定或收看品質不佳，請重新連結https://www.youtube.com/channel/UC5l1Yto5oOIgRXlI4p4VKbw★加入中天電視會員：https://www.youtube.com/c/ctitv/join★支持中天快點購，上中天YT看影音商品解說，精選好物一鍵購買好方便！🛍️快點購👉https://cti.news/hurrybuy⭐️大甲媽x水神防疫禮盒👉https://cti.news/mazu                   未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。 如有任何營業使用，必須事先取得書面同意。"
"2E0huyzrbiQ","【蔡桃貴成長日記#85】回嘉義北港過年Vlog！跟蔡波能從除夕玩到初五！","2021-04-01T11:00:17Z","UCtcaZ5FUqaNXGX6xhpiGPQA","蔡阿嘎Life","22","21.05.04","反骨男孩|館長|Joeman|小玉|黃氏兄弟|這群人|五月天|眾量級|阿神|HOWHOW|阿滴|狠愛演|老高|大蛇丸|千千","702585","10608","401","444","https://i.ytimg.com/vi/2E0huyzrbiQ/default.jpg","False","False","貴哥帶著阿波過年一起回嘉義、北港當大爺！好多人陪、好多新公園可以玩，都不想回台北了啦～哈哈哈► 訂閱二伯&蔡波能：https://pros.is/2UncleYT► 訂閱蔡阿嘎Life頻道：http://pics.ee/AGaLife► 訂閱蔡桃貴：https://pse.is/TsaiGray2018► 蔡阿嘎主頻道：http://pics.ee/AGaU2► 蔡阿嘎FaceBook：http://pics.ee/AGaFB► 加LINE好友：https://pse.is/GaLine► Instagram：http://pics.ee/AGaIG#蔡桃貴成長日記 #蔡波能 #蔡阿嘎 #嘎嫂二伯 #蔡桃貴聯絡蔡阿嘎：withgalovetaiwan@gmail.com"
"t6-CvTKuv_w","這群人 TGOP │懷孕的經典語錄 Classic Pregnancy Quotes","2021-03-30T10:00:22Z","UC6FcYHEm7SO1jpu5TKjNXEA","這群人TGOP","24","21.05.04","這群人|TGOP|搞笑影片|This|Group|Of|People|茵聲|展榮|許展瑞|董仔|董芷涵|尼克|木星|娛樂|惡搞|石頭|喜劇演員|搞笑團體|youtube 廣告|好笑|影片|訂閱|有趣|趣味|戲劇|客串|翻唱|超瞎|feat.|經典語錄|韓流|許展榮|王士維|牧昕|林牧昕|鄭茵聲|張佑維","1619316","30056","589","1508","https://i.ytimg.com/vi/t6-CvTKuv_w/default.jpg","False","False","「不管風吹雨打，不問星期或例假，我的媽媽從來不放假，工作為了家......，」童年的一首歌，道出身為媽媽的辛苦。懷胎10月，媽媽需要面對身體上的不適、即將為人母的不安，以及更多經濟、家庭的責任，因此偶爾難免變得敏感，時而易怒、時而感性，然而這些小情緒卻也為生活帶來不少笑料。這次這群人誇張演繹出三對夫妻的孕期日常，究竟懷孕後的生活，周遭會有什麼變化?面對改變，三位準爸爸媽媽又將如何接招呢XD#懷孕 #經典語錄 #這群人支持群人  訂閱訂起來➔ https://tgop.pse.is/GWAQ6​A Day To Remember 播放清單 經典語錄系列➔  https://tgop.pse.is/M3HAM​來看這群人更多日常生活 ➔ https://tgop.pse.is/KZPB2​群人製作的都在這➔ https://tgop.pse.is/KB5Z4【更多影片 看起來！】跟朋友出遊的傻眼事蹟https://tgop.pros.si/3dghwj 別人跟你想的永遠不一樣https://tgop.pros.si/3c9ua3過年讓你傻眼的事https://tgop.pros.si/38yvwa酸民的經典語錄https://tgop.pros.si/3dq7sy爸媽諄諄教誨的經典語錄https://tgop.pros.si/3ch63p倒帶2020流行事https://tgop.pros.si/3cwu3j看醫生的經典語錄https://tgop.pros.si/3aqw2h斜幹青年電影院 feat.安心亞 華森https://tgop.pros.si/3ct5yl敦親睦鄰的經典語錄https://tgop.pros.si/3c465x"
"sE-ufmUpfMA","【太魯閣號出軌】太魯閣「火車駕駛視角曝光」 出隧道7秒奪命-徐俊相《57爆新聞》網路獨播版","2021-04-02T14:45:04Z","UCuzqko_GKcj9922M1gUo__w","57東森財經新聞","25","21.05.04","東森財經|57|新聞|東森|財經|ㄉㄨㄥ森財經|東森財經新聞台|新聞直播|財經新聞|東森財經台|東森財經新聞|57東森財經新聞台|直播新聞|財經晚報|太魯閣|出軌|台鐵|列車長|408車次|隧道|車廂|乘客|司機|花蓮|火車出軌|太魯閣出軌|台鐵出軌","262063","1127","148","468","https://i.ytimg.com/vi/sE-ufmUpfMA/default.jpg","False","False","【節目播出時間：19:30~19:42】太魯閣「火車駕駛視角曝光」 出隧道7秒奪命追工程車釀禍 運安會：有沒拉手煞車還得採證台鐵太魯閣號出軌 列車長：列車急煞 感受到劇烈撞擊第8節車廂撞工程車又衝隧道 死傷最慘重太魯閣號史上最慘重出軌傷亡 超過50死、司機亡※太魯閣號北市府專案服務專線※查詢死傷最新資訊 可撥📞03-846-2119轉播6067或6068死者家屬可與民政局服務窗口-郭素蓉科長0912-781-7798傷者家屬可與社會局服務窗口-陳肯玉科長0975-380-662更多精彩內容每周一至周五1900-2000請鎖定57東森財經新聞台－《57爆新聞》快來加入《57爆新聞》行列，訂閱並開啟小鈴鐺😍→https://bit.ly/2uBSbXv#57爆新聞 #太魯閣 #出軌 #台鐵 #列車長 #408車次 #隧道 #車廂 #乘客 #司機 #徐俊相"
"ZacK6BFgZcY","【LIVE】不斷更新！太魯閣號出軌意外 現場搶救即時狀況報導 @TVBS NEWS #太魯閣號 #太魯閣捐款","2021-04-03T17:19:23Z","UCL0_NxCvkcXwZHpvqgMZY-A","TVBS選新聞","25","21.05.04","TVBS|TVBS新聞|LIVE|新聞直播|直播|現場|國際|娛樂|政治|時事|NEWS|直擊|體育|焦點|十點不一樣|專題|中天|24H直播|24小時直播|趙少康|少康|文茜|文茜世界週報|陳文茜|55台|56台|55|56|NEWS LIVE|最新|Taiwan News|Taiwan|即時|即時新聞|媒體|新聞媒體|國民黨|民進黨|時代力量|藍營|綠營|台灣政治|天氣|颱風|地震|災害|社會新聞|台灣|選新聞|TVBS選新聞","209398","860","68","7","https://i.ytimg.com/vi/ZacK6BFgZcY/default.jpg","False","False","衛福部捐款專戶帳號，捐款受理期程到4月底，民眾可以透過以下兩種方式進行捐款：1．郵政劃撥方式：劃撥帳號為「50269506」，戶名為「衛生福利部賑災專戶」 2．國外部分：捐款帳號為「007－09－11868－０」「兆豐國際商業銀行國外部」戶名為「衛生福利部賑災專戶」 由於帳戶為常設帳戶，因應事故開放捐款因此務必指定捐款用途為「0402太魯閣事故案」空白處寫上捐款人姓名、電話，以及收據寄送地址傳真至「02－85906065」，以利寄送收據。#太魯閣捐款#太魯閣號捐款方式#捐款●訂閱【TVBS選新聞】您在乎的事 TVBS幫您選👉https://pse.is/3c4lrn●下載【TVBS新聞APP】最即時的新聞資訊👉https://tvbsnews.pse.is/SHMU9●按讚【TVBS新聞FB】網路熱話題👉https://tvbsnews.pse.is/RJ5ZV●追蹤【TVBS新聞IG】與您討論「您該在乎的事」👉https://tvbsnews.pse.is/RP984●【TVBS新聞網】👉https://tvbsnews.pse.is/SH72D"
"UguMU-hxo7Y","【#狗屎寫手】啊Fred不是什麼都敢講？講啊！","2021-04-02T14:00:15Z","UCDrswN-SqWh7Kii62h9aXGA","STR Network","24","21.05.04","STRNetwork|薩泰爾娛樂|喜劇|博恩|伯恩|賀瓏|賀龍|喬瑟夫|酸酸|chillseph|臺灣|脫口秀|喜劇演員|comedy|strnetworkasia|博恩夜夜秀","533562","13020","187","616","https://i.ytimg.com/vi/UguMU-hxo7Y/default.jpg","False","False","料理之王的選擇是對的▍狗屎寫手｜每週五 22:00 上片馬上訂閱 ➪ https://strn.pros.is/STR-YT#廚佛瑞德 #博恩 -----⧉ #薩泰爾娛樂 ⧉≡  商業合作請來信：business@strnetwork.cc  ≡▍Facebook：https://www.facebook.com/strnetworkasia/▍Instagram：https://www.instagram.com/str_network/"
"c5M5dthv-q8","拍不好就把人轟出去...? 影片我照發!","2021-04-03T06:00:16Z","UCcBLVExMJRTwgK_Z5TLlUCA","奎丁Zamy","24","21.05.04","許維恩|女神|揆丁|葵丁|惡棍|惡整","483062","7125","280","500","https://i.ytimg.com/vi/c5M5dthv-q8/default.jpg","False","False","..........女明星 :)"
