video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"XAHJS6r5EEQ","【中天互動LIVE】 相隔7個月不見! 韓國瑜今現身軍系活動 @中天新聞 20210411","2021-04-11T05:39:43Z","UC5l1Yto5oOIgRXlI4p4VKbw","中天電視","25","21.13.04","中天|中天電視|中天新聞|CTI|會員|江啟臣|韓國瑜|洪秀柱|連勝文","570899","34571","773","2723","https://i.ytimg.com/vi/XAHJS6r5EEQ/default.jpg","False","False","【中天新聞24小時直播】 https://youtu.be/5tQBwbyQ-Fw 【中天電視頻道】訊號若不穩定或收看品質不佳，請重新連結https://www.youtube.com/channel/UC5l1Yto5oOIgRXlI4p4VKbw★加入中天電視會員：https://www.youtube.com/c/ctitv/join★支持中天快點購，上中天YT看影音商品解說，精選好物一鍵購買好方便！🛍️快點購👉https://cti.news/hurrybuy⭐️大甲媽x水神防疫禮盒👉https://cti.news/mazu                   未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。 如有任何營業使用，必須事先取得書面同意。"
"58So-L9z6DU","【大甲媽祖遶境 互動LIVE】全台瘋媽祖!大甲媽駐駕新港奉天宮 @中天新聞  20210412","2021-04-12T17:01:12Z","UC5l1Yto5oOIgRXlI4p4VKbw","中天電視","25","21.13.04","中天|中天電視|中天新聞|CTI|會員|大甲媽|媽祖|遶境|祈福|國泰民安|繞境|鑽轎|林默娘|雲林|彰化|白沙屯|西螺|新港|奉天宮|大冰紅|蔡秉宏","187629","5668","78","77","https://i.ytimg.com/vi/58So-L9z6DU/default.jpg","False","False","大甲媽遶境進入第3天從雲林西螺前往嘉義新港奉天宮特派記者大冰紅 陪您晚間直播體驗線上遶境16:00 新港鄉中庄村永祿宮 →16:40 新港鄉古民村永福宮 →17:20 新港鄉大興村大興宮 →17:30 新港市區遶境奉天宮駐駕中天新聞24小時直播】 https://youtu.be/5tQBwbyQ-Fw 【中天電視頻道】訊號若不穩定或收看品質不佳，請重新連結https://www.youtube.com/channel/UC5l1Yto5oOIgRXlI4p4VKbw#新港奉天宮#大冰紅#駐駕★加入中天電視會員：https://www.youtube.com/c/ctitv/join★支持中天快點購，上中天YT看影音商品解說，精選好物一鍵購買好方便！🛍️快點購👉https://cti.news/hurrybuy⭐️大甲媽x水神防疫禮盒👉https://cti.news/mazu                   未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。 如有任何營業使用，必須事先取得書面同意。"
"CMbUg28eGU8","台灣世紀大缺水媽祖四季籤早預言!? 神轎一過溪水竟然暴漲!? 中部大尾鱸鰻密謀兩億綁架案大甲媽竟當晚找上門!?｜呂惠敏主持｜【驚爆新聞線 PART1】20210410｜三立新聞台","2021-04-10T15:00:15Z","UCwDyCMbrFn0RkqXdCKxjIbg","驚爆新聞線","25","21.13.04","國際|新聞|驚爆新聞線|三立|呂惠敏|奇聞|軍事|政治|熱點|三立新聞|靈異|怪異|熱門|庚子年|台灣|缺水|媽祖|預言|神轎|暴漲|大尾鱸鰻|白沙屯媽|雙媽會|四月颱|地下水|高鐵|台鐵|太魯閣|黑猴|408|火車|包商","417720","1974","394","237","https://i.ytimg.com/vi/CMbUg28eGU8/default.jpg","False","False","#驚爆新聞線 #呂惠敏 #三立新聞台 勁爆的驚爆新聞線  分段節目都在這裡^___^➲追蹤驚爆新聞線粉絲團  http://bit.ly/SEThotlinenews➲驚爆新聞線 爆內幕追真相 https://goo.gl/qnrjSt➲政論新台灣加油 https://goo.gl/Hthr3e➲美食趣遊必看54Free食代  https://goo.gl/bSdR3e➲從台灣看世界 時事不漏接  https://goo.gl/djuiiU➲雲端秘檔 揭秘辛解碼真相  https://goo.gl/vi3Gzd➲ 立即訂閱【三立LIVE新聞】https://goo.gl/7FaFJW"
"GtOXmG2u2A8","ᴴᴰ109UVL決賽::冠軍賽::彰化師大vs國北教大::男一級 大專排球聯賽 網路直播","2021-04-11T16:17:14Z","UCGKFpegl7pnPVBi6FhZd4kQ","SSUtv Sports","17","21.13.04","Sports|SSU|大專體總|SSUtv|運動|體育|大專學生運動網|網路直播|SSUTV|直播","152287","468","22","54","https://i.ytimg.com/vi/GtOXmG2u2A8/default.jpg","False","False","109 UVL 大專排球聯賽清單▶https://pse.is/3drgc3**觀看歷年UVL完整賽事及精彩片段請至SSUtv搜尋相關播放清單！**馬上 #訂閱SSUtvSports​ 不錯過直播 ▶ https://goo.gl/UbJlZd​ 貼心小提醒：記得開啟小鈴鐺，最新直播、精彩高光不漏接！隨時到頻道社群逛逛，偶爾也會有意想不到的消息呦～----------------------------------------------------------------------------完整賽事報導請上SSU大專學生運動網 ▶ http://www.ssu.org.tw​ SSU Facebook粉絲專頁 ▶ https://www.facebook.com/CTUSFSSU​---------------------------------------------------------------------------- #安心看球安心打球  #UVL"
"IfgyvmHgKX4","大淵MUTA【FatBoyGang】Official Music Video","2021-04-08T04:30:18Z","UCPcF3KTqhD67ADkukx_OeDg","滾石唱片 ROCK RECORDS","10","21.13.04","大淵MUTA|Fat Boy Gang|高仰辰|Tipsy Kao|康家豪|Caxton Kang|林清智|Zachary Lin|全區通行錄音室|All Access Studio|Chris Gehringer|Sterling Sound|本色音樂|頑童|MJ116|Stay High Crew|Lea|譚善謙|劉玉琪|王沐|歐定遠|肥男幫|海釣族海鮮小館|Cocco & Co. / Taipei|圓山飯店|林睦淵 Muta Lin","862048","17451","482","1759","https://i.ytimg.com/vi/IfgyvmHgKX4/default.jpg","False","False","【ROCK HDMV】歡迎訂閱滾石唱片YouTube官方頻道 → http://bit.ly/RockRecords#大淵MUTA 《#FatBoyGang》MV  都市傳說在大台北地區有一群餓徒對他們來說，體脂只是浮雲走遍南北張口嗑四方，他們吃心絕對江湖上叫他們「FatBoyGang」頑童 大淵MUTA 單飛後首支主打單曲 《FatBoyGang》華人底蘊的配樂，肥厚的饒舌唱腔搭上大淵極具個人特色的詼諧歌詞徹底無賴自信爆棚只能說：「別人笑他太肥胖，他笑眾人吃不飽！」實質表現了他內心的曠達情懷，與他超然物外的逍遙人生大淵MUTA『FatBoyGang 』♫ https://RockRecordsCo.lnk.to/FatBoyGang大淵MUTA  - FatBoyGang詞 Lyrics：林睦淵 Muta Lin曲 Composer：林睦淵 Muta Lin製作人 Producer：高仰辰 Tipsy Kao       編曲 Music Arranger：高仰辰 Tipsy Kao錄音師 Recording Engineer：康家豪 Caxton Kang錄音工作室 Recording Studio：本色錄音室 True Color Studio混音師 Mixing Engineer：林清智 Zachary Lin 混音工作室 Mixing Studio：全區通行錄音室 All Access Studio母帶後期處理 Mastered by：Chris Gehringer母帶後期處理工作室 Mastering Studio：Sterling SoundOP: 本色股份有限公司SP: ROCK MUSIC PUBLISHING CO., LTD.這是傳說中的肥男幫最燙的貨都在胃裡躺胖子怕餓 不怕燙筷子上膛 像打仗 Fat Boy Fat BoyFat Boy Fat Boy爺 就是胖 爺 不怕燙爺 躺床上 也常上健身房 壓完重量 剛才點的餐點老闆快點上開胃前菜主菜甜點 不管哪ㄧ樣我身邊的朋友都必須胖胖的 出門在外這樣才是像樣的他長的像隻小熊 但是怕餓的欸不是才剛吃飽 怎麼又餓了這裡有滷蛋 滷肉 但是沒有魯蛇酸甜苦辣鹹 加甜點才是完美組合出門不帶錢 行動支付沒有阻隔只為東西好吃不為老闆女兒肥男幫所到之處 必定掀起風暴還沒走起之前必須先吃 吃到飽ㄧ直吃都在吃沒有飽的徵兆FBG稱號必須讓老闆知道這是傳說中的肥男幫最燙的貨都在胃裡躺胖子怕餓 不怕燙筷子上膛 像打仗 Fat Boy Fat BoyFat Boy Fat Boy五湖四海皆兄弟張口就吃四方嗚～～先喘口氣  蔥油餅再來四張無刺的魚湯  老闆酒多不加薑狂野的吃相 兄弟們說飯菜特別香吃東西就別管熱量體脂   都是浮雲 說好吃完就散別提減肥  這樣傷感情這煩惱即是菩提 暫且不提 我的肚臍深不見底吃點點心壓壓驚先墊墊底都說吃胖是我的本事 又沒拿你家米吃兄弟更加堅定意志 雞腿再多點幾隻咱們肥波聚會就是 菜 不留給你吃初一十五照吃不誤 素 就留給你吃吃飯前先解皮帶 雞豬牛羊不例外肥波男孩punchline 就連瘦子都胖起來享受飽ㄎㄧㄤ 的痛快 血糖上升像娶姨太 肥波在沒人是局外 吃香喝辣油門一拜這是傳說中的肥男幫最燙的貨都在胃裡躺胖子怕餓 不怕燙筷子上膛 像打仗 Fat Boy Fat BoyFat Boy Fat Boy【MV Production Crew】導演Director：Stay High Crew Mickey製片Producer：王漢聲製片組ProductionCrew：王璽皓攝影師Director of Photography：Stay High Crew Eder | Stay High Crew Wei Lee 攝影大助Camera Assistant：利達影音燈光組Gaffer Crew：毅達映像工作室燈光師Gaffer：張堯舜燈大助：周國鉉燈二助：龔克勤美術指導Art Director：楊尚儒 美術助理 Art assistant：李佳杰場務Set Coordinator：許誌峯 | 黃瑞隆 | 凃玠庭剪接Editor：Stay High Crew Mickey後製Post-Production：Stay High Crew Mickey攝影器材Studio Equipment：利達影音造型Stylist：王慧中化妝Make-up Artist：雷夢髮型Hair：強森演員Cast：Lea | 譚善謙 | 劉玉琪 | 王沐 | 歐定遠#肥男幫特別感謝場地協力Location：海釣族海鮮小館｜Cocco & Co. / Taipei ｜圓山飯店#請分享按讚開小鈴鐺喔."
"JiSBIR2BbR8","【大甲媽祖遶境 互動LIVE】重兵嚴防搶轎 「一級戰區」彰化市民生地下道 媽祖鑾轎來了! 現場直擊@中天新聞  20210410","2021-04-10T16:52:21Z","UC5l1Yto5oOIgRXlI4p4VKbw","中天電視","25","21.13.04","中天|中天電視|中天新聞|CTI|會員|遶境|打架|年輕人","410250","7857","246","197","https://i.ytimg.com/vi/JiSBIR2BbR8/default.jpg","False","False","#彰化 #民生地下道 #搶轎 #大甲媽 #一級戰區 #警力 #重兵 #拒馬 #淨空 #管制 #人流 #車流【第一天】農曆2月29日(六) 大甲-彰化   18:00 彰化市西勢里聖安宮 →18:30 彰化市忠權里北極宮 →20:10 彰化市中華路開化寺 →20:30 彰化市民族路關帝廟 →20:50 彰化市民族路鎮安宮 →21:00 彰化市南瑤路鎮南宮 →21:30 彰化市南瑤路南瑤宮今天是大甲媽遶境第二天，最緊張刺激的一級戰區，彰化市民生地下道，每年遶境必然發生搶轎衝突，民眾希望透過搶這個動作，分得神明的靈氣跟庇佑。因此，警方今年特地布陣三百名警力來預防衝突，透過白導出任務，帶您一起來看這個熱鬧的場面。【中天新聞24小時直播】 https://youtu.be/5tQBwbyQ-Fw 【中天電視頻道】訊號若不穩定或收看品質不佳，請重新連結https://www.youtube.com/channel/UC5l1Yto5oOIgRXlI4p4VKbw★加入中天電視會員：https://www.youtube.com/c/ctitv/join★支持中天快點購，上中天YT看影音商品解說，精選好物一鍵購買好方便！🛍️快點購👉https://cti.news/hurrybuy⭐️大甲媽x水神 平安防疫禮盒👉https://cti.news/mazu⭐️ 天后點紅x大甲鎮瀾宮 絕代風華唇膏禮盒👉https://cti.news/lipstick                   未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。 如有任何營業使用，必須事先取得書面同意。"
"BhLZgVrWB_k","【太魯閣號出軌】李義祥對話曝光怪手「弄翻」！ 16秒可救50命卻call人滅證？-江中博 余烈 康仁俊 徐俊相《57爆新聞》精選篇 網路獨播版-1900-1","2021-04-09T00:00:03Z","UCUj9oqtKhwSfM6YWD3qyMnQ","57爆新聞","25","21.13.04","太魯閣事故|頭七|火車|鳴笛|工程車|怪手|李義祥|運安會|工程車翻落|錨釘|監工|工安|余烈|工程界|邊坡施工|標單|台鐵案|太魯閣|偷工減料|台鐵|標案|太魯閣號|隧道|駕駛|駕駛員|工地|台鐵員工|大體修復|義祥|廢輪胎|違規|施工|黑名單|違法|工地主任|邊坡工程|監造商|聯合大地|包商|出軌|太魯閣號出軌|義祥營造|花蓮|清水隧道|408次|車廂|列車長|乘客|火車出軌|出軌意外|落軌|輪胎|土木技師|連假|偽造文書|外勞|義祥企業|資本額|李正皓|脫產|外包|東新|員工|安全帽|工人|借牌標案|前科|台鐵工程|借牌|工程標案|台鐵標案|司機員|醬缸文化|安全意識|斷軌|電車線|司機|東森財經|關鍵時刻|東森|台灣|名嘴|政論|中華民國|57|57驚爆新聞|#57爆新聞|五七爆新聞|57報新聞|57报新闻|57爆新聞 徐俊相|軍事","395556","2155","244","561","https://i.ytimg.com/vi/BhLZgVrWB_k/default.jpg","False","False","◆加入57爆新聞會員【真相追擊隊】→https://bit.ly/34zJY70太魯閣事故頭七悼念 全台火車9:28鳴笛30秒致敬！扯！ 工程車、怪手都是李義祥開的！ 拉車失敗反害50命…怎賠？運安會示意圖留浮筆？ 怪手「紅線」早暗示…工程車翻落關鍵！夭壽！ 錨釘切半少灌漿！ 李義祥偷工減料「反正監工不會來」？！可惡！ 李義祥罔顧工安「偷工減料」 余烈怒轟「工程界老鼠屎」！獨！ 李義祥邊坡施工釀50死慘劇… 爆魔鬼藏在「標單」裡？ 標台鐵案得靠關係？ 余烈爆差「兩萬」被搶標…千萬學費買經驗！台灣鐵路產業工會祕書長 魏豫綾北市土木建築學會理事長 余烈資深媒體人 康仁俊財經專家 汪潔民資深媒體人 江中博軍事評論員 施孝瑋更多精彩內容每周一至周五1900-2000請鎖定57東森財經新聞台－《57爆新聞》快來加入《57爆新聞》行列，訂閱並開啟小鈴鐺😍→https://bit.ly/2uBSbXv#57爆新聞 #太魯閣號 #出軌 #工程車 #台鐵 #李義祥 #怪手 #台鐵標案 #邊坡工程 #監工 #余烈 #工安 #運安會 #鳴笛 #徐俊相"
"TTGb3zB7E4w","LIVE 2021-4精彩的白沙屯媽祖進香拱天宮現場","2021-04-11T16:47:08Z","UC8aI3Ee6KoWwjq6dcORBh8w","白沙屯媽祖網路電視台","19","21.13.04","2021白沙屯媽祖進香|白沙屯媽祖神跡|駱調彬|林茂賢|王新源|古台清|白沙屯拱天宮|拱天宮文化組|洪建華|白沙屯媽祖職播|大甲媽祖繞境|北港媽祖|mazu|matsu|白沙屯媽祖繞境|白沙屯媽祖神蹟|baishatun mazu|baishatun matsu|2020白沙屯媽祖進香|駱調彬的鏡頭世界|2020白沙屯媽祖進香直播|白沙屯拱天宮現場LIVE直播...|韓國瑜直播|蔡英文|白沙屯媽祖婆|白沙屯媽祖|台中家家富白沙屯媽祖分靈徒步謁祖進香現場LIVE直播...|2020白沙屯媽祖|大甲媽祖|新港奉天宮|北港朝天宮|韓國瑜|第一場..白沙屯三媽祖宜蘭南天宮贊境巡安現場LIVE直播...|2021白沙屯媽祖進香擲筊擇日 現場LIVE直播...|白沙屯媽祖聖誕..現場LIVE直播|LIVE 2021白沙屯免費結緣發放白沙屯安撫奶嘴現場直播..歡迎分享！|白沙屯媽祖進香直播|2021白沙屯媽祖徒步進香直播|白沙屯拱天宮進香直播|大甲媽祖繞境直播|白沙屯拱天宮文化組|白沙屯媽祖繞境直播|2021白沙屯媽祖徒步遶境直播|中天電視|三立寶島神很大|東森新聞","210704","2018","53","10","https://i.ytimg.com/vi/TTGb3zB7E4w/default.jpg","False","False","LIVE 2021白沙屯媽祖進香拱天宮現場..我們歡迎任何人直接分享直播訊息、直播連結、或在自己的任何網路平台崁入直播碼分享給更多人、更歡迎媒體朋友無償引用本台任何公開的視頻應用與報導、本直播平台嚴禁二次串流直播、感謝！白沙屯媽祖婆網站 主站http://www.baishatun.com.tw/白沙屯媽祖網路電視台youtube主頻道https://www.youtube.com/channel/UC8aI3Ee6KoWwjq6dcORBh8w白沙屯媽祖網路電視綜合台youtube主頻道https://www.youtube.com/channel/UCR3oYS3UCfUHCbP6YjP22Gw駱調彬的鏡頭世界youtube頻道https://www.youtube.com/channel/UCGWLDWlFJ5L1Iwv6g1AYArw白沙屯媽祖網路電視台FB頻道https://www.facebook.com/live.baishatun/白沙屯媽祖粉絲團 FB平台https://www.facebook.com/matsu.baishatun/白沙屯媽祖婆網站的FB平台https://www.facebook.com/baishatun.com.tw/我們歡迎任何人直接分享直播訊息、直播連結、或在自己的任何網路平台崁入直播碼分享給更多人、更歡迎媒體朋友無償引用本台任何公開的視頻應用與報導、感謝！『白沙屯媽祖網路電視台』常態性節目多樣、記得訂閱白沙屯媽祖網路電視台、讓您精彩不漏接.....  歡迎分享...更歡迎媒體朋友無償引用報導、感謝！『白沙屯媽祖網路電視台』是一個、公益性、義務性、自發性的網路電視台、無任何黨派色彩與商業行為、本台宗旨以發揚傳承正統白沙屯媽祖文化為主、凡是與白沙屯媽祖相關之任何議題、均是本節目探討的主題、歡迎各界給予我們熱情協助與鼓勵、感恩！！任何建言或爆料請mail至 baishatun.com.tw@gmail.com『白沙屯媽祖網路電視台』常態性節目多樣、節目名稱：豐富多樣級數：普通級節目主持人：林茂賢、古台清節目總監：駱調彬監製：白沙屯媽祖婆網站總監製：白沙屯媽祖歡迎收看、更歡迎您的分享...The Baishatun Matsu Pilgrimage歡迎分享...記得訂閱我們的頻道喔..."
"Ok88C3XAzbU","【白沙屯媽祖徒步進香直播】2021/04/11 媽祖起駕！精彩陣頭一次看 | 寶島神很大 ft.含羞草日記","2021-04-11T20:06:03Z","UC_s7aCmBPjzMUOgS0gcAf8g","寶島神很大","22","21.13.04","寶島神很大|民俗大廟埕|廟宇|民俗|大堡|香蕉|阿白|神很大|阿男|曾甜|陳孟賢|艾莉絲|草屯囝仔","163921","1323","53","4","https://i.ytimg.com/vi/Ok88C3XAzbU/default.jpg","False","False","白沙屯媽祖要起駕囉！本次寶島神很大白沙屯媽祖進香直播很不一樣！首度與百萬網紅「含羞草日記」合作，同時在兩個YT頻道進行直播，讓神粉們一次看到滿滿的白沙屯媽祖！三月瘋媽祖！直播看寶島神很大ft.百萬網紅含羞草日記▶️「寶島神很大」全民瘋媽祖直播👉 https://youtu.be/Ok88C3XAzbU▶️「含羞草日記出任務」白沙屯媽祖徒步進香實境秀👉 https://youtu.be/fjjKCS-gpbw神粉可以在寶島神很大頻道看寶神主持人和含羞草日記團隊一起帶著我們跟隨媽祖進香～直播將追隨媽祖的腳步！也可以到「含羞草日記」YT頻道看草爺、超艾夾、張璃、戰神駿、豹子腿的白沙屯媽祖進香實境秀，他們將在進香路上展開各種冒險，呈現給神粉不一樣的有趣體驗。千萬別錯過精彩實境秀！在本場直播中，除了帶大家了解本次進香的陣頭，還會近距離直擊白沙屯媽祖登轎起駕！想看陣頭以及近距離看到媽祖登轎起駕的神粉們，一定要鎖定寶島神很大-白沙屯媽祖徒步進香直播！#白沙屯媽祖進香 #白沙屯拱天宮  #含羞草日記 #白沙屯省安宮 #白沙屯天德宮 #白沙屯五龍宮 #白沙屯母德宮 #白沙屯東龍宮 #白沙屯五雲宮 #寶島神很大▶️加入寶島神很大LINE，直播不漏接👉 http://bit.ly/38IiSOH▶️追蹤寶島神很大IG，獨家花絮追追追👉 https://bit.ly/3iCfpV1▶️按讚寶島神很大官方FB，接收神消息👉https://bit.ly/3n9Sb9C▶️收看寶島神很大online新聞網！掌握神新聞👉http://bit.ly/3s7gf0s▶️訂閱寶島神很大YouTube，精彩影片一次看👉https://bit.ly/39cLQFc"
"PW1iEMXEki0","【正常發揮PiMW】英皇出手！林佳龍「自斷官路」為鬥蘇貞昌？謝寒冰爆！林佳龍下個職務竟是⋯@正常發揮 20210412 完整版","2021-04-12T14:05:26Z","UCz_rK02a3hnmMOOUSmFQo2w","正常發揮","25","21.13.04","王又正|正常發揮|又正|政論一哥|少康戰情室|少康|習近平|习近平|XiJinping|大陸|中國|中国|少康战情室|台海|兩岸|唐湘龍|蘭萱|台湾|國民黨|民進黨|政論|政治|TVBS|2020|總統大選|韓國瑜|蔡英文|柯文哲|武漢肺炎|口罩|防疫|新型冠狀病毒|新冠肺炎|陳時中|社區傳播|境外|Taiwan|美國|北京|解放軍|深喉嚨|關鍵時刻|觀點|新聞龍捲風|暐瀚|鳳馨|飛碟早餐|唐湘龙|三立|東森|SET|COVID 19|川普|陳文茜|拜登|Biden|美國總統大選|疫苗|共機|美豬|萊豬|萊克多巴胺|蘇貞昌|新聞翟急便|Sisy's World News|文茜的世界周報|文茜|中天|中天關台|中天新聞|快點TV|ctitv|蔡衍明|劉盈秀|戴立綱|新聞深喉嚨|頭條開講|大新聞大爆卦|大政治大爆卦|蘇揆|NEWS LIVE|謝曜州|誰來feat趙少康|劉寶傑|黃捷|韩国瑜|政論無雙|謝寒冰|口譯哥|eric|郭正亮|谢寒冰|陳輝文|陈挥文|總統|正常发挥|新闻深喉咙|台北市|罷免|翻白眼|陳伯惟|基進黨|王浩宇|高雄|台北|鳳山|朱學恆|馬英九|馬維拉|韓維拉","127292","21615","132","578","https://i.ytimg.com/vi/PW1iEMXEki0/default.jpg","False","False","正常發揮 是個{不正常}的政論節目我們評論政治 更愛挖掘內幕我們監督時政 更愛嘲弄政客我們罵人不帶髒 糗人沒在怕犀利也好 幽默也罷難搞也行 有種最大我們的苛薄不太正常我們的尖酸直戳心臟 國內 國外 政治 社會誰敢不正常 我們就上膛正常發揮主旨無他就盼台灣正常 世界正常你的盼望 我來喉舌你的正常 我來發揮#王又正 #正常發揮 #林佳龍 #蘇貞昌 #郭正亮⚠️「未經著作權人事先書面同意，勿將內容用於商業性質之分享、連結。」「如有任何營業使用，必須事先取得書面同意」⚠️ 重要提醒！目前YT頻道、臉書粉專先上線！不定時會分享正常發揮小組的工作內容、生活點滴。⚠️節目正式開播前，會再通知大家！⚠️記得到臉書按讚、追蹤＋分享啊！https://www.facebook.com/Playitmyway2020"
